Recipient Address,Amount Vested,Time Vested,Cliff,Start Date
0x2797ff1C04A20ABEc5B8bC2a5b76A41D70d097C3,6540,12,12,2023-07-01
0xAfbF0Ee214142c0872fD8871c7219b1034be1271,1380,12,12,2023-07-01
0xD798428e860465E08B522f8440f707593E6d22C6,1380,12,12,2023-07-01
0x567244C8E8dff152bE7A276DCD05AA332767386E,1380,12,12,2023-07-01
0xdE0AEf70a7ae324045B7722C903aaaec2ac175F5,1380,12,12,2023-07-01
0x565871756d14424000e3a052e270eba6f1ec5e88,6540,12,12,2023-07-01
0xB5c46131B4d8d13e4c0E476B9A2Ea5b43945891e,1380,12,12,2023-07-01
0xF2Cf9d7513A2F6EAAe9d82b95B3c40D0efebE33B,1380,12,12,2023-08-01
