SETT,ADDRESS,NETWORK,TOKEN,31-03-22,07-04-22,14-04-22,21-04-22,28-04-22,05-05-22,12-05-22,19-05-22,26-05-22,02-06-22,09-06-22,16-06-22,23-06-22
renBTC Arb,0xBA418CDdd91111F5c1D1Ac2777Fa8CEa28D71843,ARBITRUM,BADGER,476,476,476,476,476,476,476,476,476,476,476,476,476
Badger Swapr,0xE9C12F06F8AFFD8719263FE4a81671453220389c,ARBITRUM,BADGER,381,381,381,381,381,381,381,381,381,381,381,381,381
ibBTC/sBTC,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,ETHEREUM,BADGER,17591,17591,17591,17591,17591,17591,17591,17591,17591,17591,17591,17591,17591
bcvxCRV,0x2B5455aac8d64C14786c3a29858E43b5945819C0,ETHEREUM,BADGER,1552,1552,1552,1552,1552,1552,1552,1552,1552,1552,1552,1552,1552
bDIGG,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a,ETHEREUM,DIGG,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
DIGG LP Sushi,0x88128580ACdD9c04Ce47AFcE196875747bF2A9f6,ETHEREUM,DIGG,10,10,10,10,10,10,10,10,10,10,10,10,10
