token,claimable_amount
stkAAVE,3.434529077081003375
CVX,242.084574499684314181
CRV,1424.026908821672436361
bcvxCRV,4339.377515491378419716
bveCVX,1086.577996858142440472
BADGER,7172.387202883565664455
WBTC,2.13733426
