token_type,token_address,receiver,value,id
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0xFc7e2b665062B127047171eBb5000d53880Bc88c,11.6760554,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0xE107a20CE3836329a3C310E9A2DA812CFB177F72,8.58952248,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0xC84350BcE9259D11f7518564520c9D3d6DDe3871,5.27776884,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0x6c0Cf880cB20EefabFB09341Fba9e2Bd29ad3DFA,8.00478248,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0xFdbBfB0Fe2986672af97Eca0e797D76A0bbF35c9,6.49429540,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0x22866c5c7F2b5475Cff41465C53aA813b4c22B13,2.68592387,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0x97389c19fF30369A8daaEf2298AFc2947b4aD362,4.11516871,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0xdc308F2d2f00889041e74B9C3d6e6B8Ad57d81de,1.23434403,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0x9E9386b977144D88033D8C2b5D1e3529E5b66aB2,1.01573685,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0x152b8c153E4F18bFE1CB3F2eAa563813c758e279,0.996287723,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0x5443ab072067e1aD408D7027a236b184472f4122,0.883806031,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0x421A8A0C6388FaA1550E2636538d8d7605a8cEde,0.656766190,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0xD5431FecbB14f20f8Ee68360b586D84D589F9f77,0.642405578,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0x577BE3eD9A71E1c355f519BBDF5f09Ba2018b1Cc,0.338559145,
erc20,0x798D1bE841a82a273720CE31c822C61a67a601C3,0xF87766e79A11C77B3472Dbe3aA45795F579564D4,0.330612908,
