address,chain,label,threshold,owners,known_address
0xB65cef03b9B89f99517643226d76e286ee999e77,eth,dev_multisig,3,0x4C16BF1f3acbCbF2b05291e8120DaCC05c10586E,False
0xB65cef03b9B89f99517643226d76e286ee999e77,eth,dev_multisig,3,0x54cF9dF9dCd78E470AB7CB892D7bFbE114c025fc,False
0xB65cef03b9B89f99517643226d76e286ee999e77,eth,dev_multisig,3,0xaF94D299a73c4545ff702E79D16d9fb1AB5BDAbF,ops_executor10
0xB65cef03b9B89f99517643226d76e286ee999e77,eth,dev_multisig,3,0x59c68A651a1f49C26145666E9D5647B1472912A9,False
0xB65cef03b9B89f99517643226d76e286ee999e77,eth,dev_multisig,3,0x15b8Fe651C268cfb5b519cC7E98bd45C162313C2,False
0x86cbD0ce0c087b482782c181dA8d191De18C8275,eth,techops_multisig,3,0x10C7a2ca16116E5C998Bfa3BC9CEF464475B18ff,ops_executor8
0x86cbD0ce0c087b482782c181dA8d191De18C8275,eth,techops_multisig,3,0xcf4fF1e03830D692F52EB094c52A5A6A2181Ab3F,ops_executor1
0x86cbD0ce0c087b482782c181dA8d191De18C8275,eth,techops_multisig,3,0xfA5bb45895Cb3C0aE5B1583Fe068f009A48F0187,False
0x86cbD0ce0c087b482782c181dA8d191De18C8275,eth,techops_multisig,3,0xC69Fb085481bC8C4bfF99B924076656305D9a25D,ops_executor3
0x86cbD0ce0c087b482782c181dA8d191De18C8275,eth,techops_multisig,3,0xBB2281cA5B4d07263112604D1F182AD0Ab26a252,ops_executor4
0x86cbD0ce0c087b482782c181dA8d191De18C8275,eth,techops_multisig,3,0x8938bf50d1a3736bdA413510688834540858dAEA,ops_executor2
0x6F76C6A1059093E21D8B1C13C4e20D8335e2909F,eth,politician_multisig,3,0x54cF9dF9dCd78E470AB7CB892D7bFbE114c025fc,False
0x6F76C6A1059093E21D8B1C13C4e20D8335e2909F,eth,politician_multisig,3,0x15b8Fe651C268cfb5b519cC7E98bd45C162313C2,False
